Gene	Antibody
CD1C	CD1c
CD1D	CD1d
CD2	CD2
CD3E	CD3
CD3D	CD3
CD3G	CD3
CD4	CD4_RPA-T4
CD5	CD5
CD8A	CD8a_RPA-T8
MME	CD10
ITGAL	CD11a
ITGAM	CD11b
ITGAX	CD11c
CD14	CD14
FUT4	CD15
FCGR3A	CD16
CD19	CD19
MS4A1	CD20
CR2	CD21
CD22	CD22
CD24	CD24
IL2RA	CD25
CD27	CD27
CD28	CD28
TNFRSF8	CD30
PECAM1	CD31
FCGR2A	CD32
CD33	CD33
CD36	CD36
CD38	CD38
ENTPD1	CD39
CD40	CD40
CD44	CD44
PTPRC	CD45
PTPRC	CD45RO
PTPRC	CD45RA
CD47	CD47
CD48	CD48
ITGA6	CD49f
NCAM1	CD56
B3GAT1	CD57
CD58	CD58
SELL	CD62L
FCGR1A	CD64
CEACAM8	CD66b
CD69	CD69
CD70	CD70
TFRC	CD71
NT5E	CD73
CD80	CD80
CD81	CD81
CD86	CD86
THY1	CD90
FAS	CD95
CD96	CD96
ITGAE	CD103
LAMP1	CD107a
KIT	CD117
IL3RA	CD123
IL4R	CD124
IL7R	CD127
TNFRSF4	CD134
TNFRSF9	CD137
SDC1	CD138
THBD	CD141
CTLA4	CD152
CD40LG	CD154
KLRB1	CD161
CXCR3	CD183
CXCR4	CD184
CXCR5	CD185
CCR4	CD194
CCR5	CD195
CCR6	CD196
CCR7	CD197
LAG3	CD223
TNFRSF14	CD270
BTLA	CD272
PDCD1LG2	CD273
CD274	CD274
ICOS	CD278
PDCD1	CD279
PTGDR2	CD294
KLRK1	CD314
NCR1	CD335
NCR2	CD336
NCR3	CD337
HAVCR2	CD366
VTCN1	B7-H4
HLA-A	HLA-A-B-C
HLA-B	HLA-A-B-C
HLA-C	HLA-A-B-C
HLA-DRA	HLA-DR
HLA-DRB1	HLA-DR
HLA-DRB2	HLA-DR
HLA-DRB3	HLA-DR
HLA-DRB4	HLA-DR
HLA-DRB5	HLA-DR
ITGB7	ITGB7
IGHM	IgM
TIGIT	TIGIT
PDPN	Podoplanin
TRAC	TCR-a-b
TRAC	TCR-Vd2
TRAC	TCR-Va24-Ja18
TRAC	TCR-Va7.2
MLANA	MelanA
AQP1	AQP1
SLC2A1	GLUT1
FAP	FAP
TYR	Tyrosinase
IGF1R	IGF1R
B2M	hashtag1
B2M	hashtag2
B2M	hashtag4
ATP1B3	hashtag1
ATP1B3	hashtag2
ATP1B3	hashtag4
